main_class_id|binary_class_id|num_active_effects|de_noise_reg|dynamic_reg|eq_reg|de_esser_reg|reverb_reg|limiter_reg|mean_reg|de_noise_profile|dynamic_profile|eq_profile|de_esser_profile|reverb_profile|limiter_profile|merged_profile
12|6|2|0.0|0.0|0.0|0.5|0.6666666666666666|0.0|0.1944444444444444|p0|p0|p0|p1|p2|p0|p0-p0-p0-p1-p2-p0
13|7|3|0.0|0.0|0.0|0.5|0.6666666666666666|1.0|0.3611111111111111|p0|p0|p0|p1|p2|p1|p0-p0-p0-p1-p2-p1
14|6|2|0.0|0.0|0.0|0.5|1.0|0.0|0.25|p0|p0|p0|p1|p3|p0|p0-p0-p0-p1-p3-p0
15|7|3|0.0|0.0|0.0|0.5|1.0|1.0|0.4166666666666667|p0|p0|p0|p1|p3|p1|p0-p0-p0-p1-p3-p1
16|4|1|0.0|0.0|0.0|1.0|0.0|0.0|0.1666666666666666|p0|p0|p0|p2|p0|p0|p0-p0-p0-p2-p0-p0
17|5|2|0.0|0.0|0.0|1.0|0.0|1.0|0.3333333333333333|p0|p0|p0|p2|p0|p1|p0-p0-p0-p2-p0-p1
18|6|2|0.0|0.0|0.0|1.0|0.3333333333333333|0.0|0.2222222222222222|p0|p0|p0|p2|p1|p0|p0-p0-p0-p2-p1-p0
19|7|3|0.0|0.0|0.0|1.0|0.3333333333333333|1.0|0.3888888888888888|p0|p0|p0|p2|p1|p1|p0-p0-p0-p2-p1-p1
20|6|2|0.0|0.0|0.0|1.0|0.6666666666666666|0.0|0.2777777777777777|p0|p0|p0|p2|p2|p0|p0-p0-p0-p2-p2-p0
21|7|3|0.0|0.0|0.0|1.0|0.6666666666666666|1.0|0.4444444444444444|p0|p0|p0|p2|p2|p1|p0-p0-p0-p2-p2-p1
22|6|2|0.0|0.0|0.0|1.0|1.0|0.0|0.3333333333333333|p0|p0|p0|p2|p3|p0|p0-p0-p0-p2-p3-p0
23|7|3|0.0|0.0|0.0|1.0|1.0|1.0|0.5|p0|p0|p0|p2|p3|p1|p0-p0-p0-p2-p3-p1
24|8|1|0.0|0.0|0.1666666666666666|0.0|0.0|0.0|0.0277777777777777|p0|p0|p1|p0|p0|p0|p0-p0-p1-p0-p0-p0
25|9|2|0.0|0.0|0.1666666666666666|0.0|0.0|1.0|0.1944444444444444|p0|p0|p1|p0|p0|p1|p0-p0-p1-p0-p0-p1
26|10|2|0.0|0.0|0.1666666666666666|0.0|0.3333333333333333|0.0|0.0833333333333333|p0|p0|p1|p0|p1|p0|p0-p0-p1-p0-p1-p0
27|11|3|0.0|0.0|0.1666666666666666|0.0|0.3333333333333333|1.0|0.25|p0|p0|p1|p0|p1|p1|p0-p0-p1-p0-p1-p1
28|10|2|0.0|0.0|0.1666666666666666|0.0|0.6666666666666666|0.0|0.1388888888888888|p0|p0|p1|p0|p2|p0|p0-p0-p1-p0-p2-p0
29|11|3|0.0|0.0|0.1666666666666666|0.0|0.6666666666666666|1.0|0.3055555555555555|p0|p0|p1|p0|p2|p1|p0-p0-p1-p0-p2-p1
30|10|2|0.0|0.0|0.1666666666666666|0.0|1.0|0.0|0.1944444444444444|p0|p0|p1|p0|p3|p0|p0-p0-p1-p0-p3-p0
31|11|3|0.0|0.0|0.1666666666666666|0.0|1.0|1.0|0.3611111111111111|p0|p0|p1|p0|p3|p1|p0-p0-p1-p0-p3-p1
32|12|2|0.0|0.0|0.1666666666666666|0.5|0.0|0.0|0.1111111111111111|p0|p0|p1|p1|p0|p0|p0-p0-p1-p1-p0-p0
33|13|3|0.0|0.0|0.1666666666666666|0.5|0.0|1.0|0.2777777777777777|p0|p0|p1|p1|p0|p1|p0-p0-p1-p1-p0-p1
34|14|3|0.0|0.0|0.1666666666666666|0.5|0.3333333333333333|0.0|0.1666666666666666|p0|p0|p1|p1|p1|p0|p0-p0-p1-p1-p1-p0
35|15|4|0.0|0.0|0.1666666666666666|0.5|0.3333333333333333|1.0|0.3333333333333333|p0|p0|p1|p1|p1|p1|p0-p0-p1-p1-p1-p1
36|14|3|0.0|0.0|0.1666666666666666|0.5|0.6666666666666666|0.0|0.2222222222222222|p0|p0|p1|p1|p2|p0|p0-p0-p1-p1-p2-p0
37|15|4|0.0|0.0|0.1666666666666666|0.5|0.6666666666666666|1.0|0.3888888888888888|p0|p0|p1|p1|p2|p1|p0-p0-p1-p1-p2-p1
38|14|3|0.0|0.0|0.1666666666666666|0.5|1.0|0.0|0.2777777777777777|p0|p0|p1|p1|p3|p0|p0-p0-p1-p1-p3-p0
39|15|4|0.0|0.0|0.1666666666666666|0.5|1.0|1.0|0.4444444444444444|p0|p0|p1|p1|p3|p1|p0-p0-p1-p1-p3-p1
40|12|2|0.0|0.0|0.1666666666666666|1.0|0.0|0.0|0.1944444444444444|p0|p0|p1|p2|p0|p0|p0-p0-p1-p2-p0-p0
41|13|3|0.0|0.0|0.1666666666666666|1.0|0.0|1.0|0.3611111111111111|p0|p0|p1|p2|p0|p1|p0-p0-p1-p2-p0-p1
42|14|3|0.0|0.0|0.1666666666666666|1.0|0.3333333333333333|0.0|0.25|p0|p0|p1|p2|p1|p0|p0-p0-p1-p2-p1-p0
43|15|4|0.0|0.0|0.1666666666666666|1.0|0.3333333333333333|1.0|0.4166666666666667|p0|p0|p1|p2|p1|p1|p0-p0-p1-p2-p1-p1
44|14|3|0.0|0.0|0.1666666666666666|1.0|0.6666666666666666|0.0|0.3055555555555556|p0|p0|p1|p2|p2|p0|p0-p0-p1-p2-p2-p0
45|15|4|0.0|0.0|0.1666666666666666|1.0|0.6666666666666666|1.0|0.4722222222222222|p0|p0|p1|p2|p2|p1|p0-p0-p1-p2-p2-p1
46|14|3|0.0|0.0|0.1666666666666666|1.0|1.0|0.0|0.3611111111111111|p0|p0|p1|p2|p3|p0|p0-p0-p1-p2-p3-p0
47|15|4|0.0|0.0|0.1666666666666666|1.0|1.0|1.0|0.5277777777777778|p0|p0|p1|p2|p3|p1|p0-p0-p1-p2-p3-p1
48|8|1|0.0|0.0|0.3333333333333333|0.0|0.0|0.0|0.0555555555555555|p0|p0|p2|p0|p0|p0|p0-p0-p2-p0-p0-p0
49|9|2|0.0|0.0|0.3333333333333333|0.0|0.0|1.0|0.2222222222222222|p0|p0|p2|p0|p0|p1|p0-p0-p2-p0-p0-p1
50|10|2|0.0|0.0|0.3333333333333333|0.0|0.3333333333333333|0.0|0.1111111111111111|p0|p0|p2|p0|p1|p0|p0-p0-p2-p0-p1-p0
51|11|3|0.0|0.0|0.3333333333333333|0.0|0.3333333333333333|1.0|0.2777777777777777|p0|p0|p2|p0|p1|p1|p0-p0-p2-p0-p1-p1
52|10|2|0.0|0.0|0.3333333333333333|0.0|0.6666666666666666|0.0|0.1666666666666666|p0|p0|p2|p0|p2|p0|p0-p0-p2-p0-p2-p0
53|11|3|0.0|0.0|0.3333333333333333|0.0|0.6666666666666666|1.0|0.3333333333333333|p0|p0|p2|p0|p2|p1|p0-p0-p2-p0-p2-p1
54|10|2|0.0|0.0|0.3333333333333333|0.0|1.0|0.0|0.2222222222222222|p0|p0|p2|p0|p3|p0|p0-p0-p2-p0-p3-p0
55|11|3|0.0|0.0|0.3333333333333333|0.0|1.0|1.0|0.3888888888888888|p0|p0|p2|p0|p3|p1|p0-p0-p2-p0-p3-p1
56|12|2|0.0|0.0|0.3333333333333333|0.5|0.0|0.0|0.1388888888888888|p0|p0|p2|p1|p0|p0|p0-p0-p2-p1-p0-p0
57|13|3|0.0|0.0|0.3333333333333333|0.5|0.0|1.0|0.3055555555555555|p0|p0|p2|p1|p0|p1|p0-p0-p2-p1-p0-p1
58|14|3|0.0|0.0|0.3333333333333333|0.5|0.3333333333333333|0.0|0.1944444444444444|p0|p0|p2|p1|p1|p0|p0-p0-p2-p1-p1-p0
59|15|4|0.0|0.0|0.3333333333333333|0.5|0.3333333333333333|1.0|0.3611111111111111|p0|p0|p2|p1|p1|p1|p0-p0-p2-p1-p1-p1
60|14|3|0.0|0.0|0.3333333333333333|0.5|0.6666666666666666|0.0|0.25|p0|p0|p2|p1|p2|p0|p0-p0-p2-p1-p2-p0
61|15|4|0.0|0.0|0.3333333333333333|0.5|0.6666666666666666|1.0|0.4166666666666667|p0|p0|p2|p1|p2|p1|p0-p0-p2-p1-p2-p1
62|14|3|0.0|0.0|0.3333333333333333|0.5|1.0|0.0|0.3055555555555555|p0|p0|p2|p1|p3|p0|p0-p0-p2-p1-p3-p0
63|15|4|0.0|0.0|0.3333333333333333|0.5|1.0|1.0|0.4722222222222221|p0|p0|p2|p1|p3|p1|p0-p0-p2-p1-p3-p1
64|12|2|0.0|0.0|0.3333333333333333|1.0|0.0|0.0|0.2222222222222222|p0|p0|p2|p2|p0|p0|p0-p0-p2-p2-p0-p0
65|13|3|0.0|0.0|0.3333333333333333|1.0|0.0|1.0|0.3888888888888888|p0|p0|p2|p2|p0|p1|p0-p0-p2-p2-p0-p1
66|14|3|0.0|0.0|0.3333333333333333|1.0|0.3333333333333333|0.0|0.2777777777777777|p0|p0|p2|p2|p1|p0|p0-p0-p2-p2-p1-p0
67|15|4|0.0|0.0|0.3333333333333333|1.0|0.3333333333333333|1.0|0.4444444444444444|p0|p0|p2|p2|p1|p1|p0-p0-p2-p2-p1-p1
68|14|3|0.0|0.0|0.3333333333333333|1.0|0.6666666666666666|0.0|0.3333333333333333|p0|p0|p2|p2|p2|p0|p0-p0-p2-p2-p2-p0
69|15|4|0.0|0.0|0.3333333333333333|1.0|0.6666666666666666|1.0|0.5|p0|p0|p2|p2|p2|p1|p0-p0-p2-p2-p2-p1
70|14|3|0.0|0.0|0.3333333333333333|1.0|1.0|0.0|0.3888888888888888|p0|p0|p2|p2|p3|p0|p0-p0-p2-p2-p3-p0
71|15|4|0.0|0.0|0.3333333333333333|1.0|1.0|1.0|0.5555555555555555|p0|p0|p2|p2|p3|p1|p0-p0-p2-p2-p3-p1
72|8|1|0.0|0.0|0.5|0.0|0.0|0.0|0.0833333333333333|p0|p0|p3|p0|p0|p0|p0-p0-p3-p0-p0-p0
73|9|2|0.0|0.0|0.5|0.0|0.0|1.0|0.25|p0|p0|p3|p0|p0|p1|p0-p0-p3-p0-p0-p1
74|10|2|0.0|0.0|0.5|0.0|0.3333333333333333|0.0|0.1388888888888888|p0|p0|p3|p0|p1|p0|p0-p0-p3-p0-p1-p0
75|11|3|0.0|0.0|0.5|0.0|0.3333333333333333|1.0|0.3055555555555555|p0|p0|p3|p0|p1|p1|p0-p0-p3-p0-p1-p1
76|10|2|0.0|0.0|0.5|0.0|0.6666666666666666|0.0|0.1944444444444444|p0|p0|p3|p0|p2|p0|p0-p0-p3-p0-p2-p0
77|11|3|0.0|0.0|0.5|0.0|0.6666666666666666|1.0|0.3611111111111111|p0|p0|p3|p0|p2|p1|p0-p0-p3-p0-p2-p1
78|10|2|0.0|0.0|0.5|0.0|1.0|0.0|0.25|p0|p0|p3|p0|p3|p0|p0-p0-p3-p0-p3-p0
79|11|3|0.0|0.0|0.5|0.0|1.0|1.0|0.4166666666666667|p0|p0|p3|p0|p3|p1|p0-p0-p3-p0-p3-p1
80|12|2|0.0|0.0|0.5|0.5|0.0|0.0|0.1666666666666666|p0|p0|p3|p1|p0|p0|p0-p0-p3-p1-p0-p0
81|13|3|0.0|0.0|0.5|0.5|0.0|1.0|0.3333333333333333|p0|p0|p3|p1|p0|p1|p0-p0-p3-p1-p0-p1
82|14|3|0.0|0.0|0.5|0.5|0.3333333333333333|0.0|0.2222222222222222|p0|p0|p3|p1|p1|p0|p0-p0-p3-p1-p1-p0
83|15|4|0.0|0.0|0.5|0.5|0.3333333333333333|1.0|0.3888888888888888|p0|p0|p3|p1|p1|p1|p0-p0-p3-p1-p1-p1
84|14|3|0.0|0.0|0.5|0.5|0.6666666666666666|0.0|0.2777777777777777|p0|p0|p3|p1|p2|p0|p0-p0-p3-p1-p2-p0
85|15|4|0.0|0.0|0.5|0.5|0.6666666666666666|1.0|0.4444444444444444|p0|p0|p3|p1|p2|p1|p0-p0-p3-p1-p2-p1
86|14|3|0.0|0.0|0.5|0.5|1.0|0.0|0.3333333333333333|p0|p0|p3|p1|p3|p0|p0-p0-p3-p1-p3-p0
87|15|4|0.0|0.0|0.5|0.5|1.0|1.0|0.5|p0|p0|p3|p1|p3|p1|p0-p0-p3-p1-p3-p1
88|12|2|0.0|0.0|0.5|1.0|0.0|0.0|0.25|p0|p0|p3|p2|p0|p0|p0-p0-p3-p2-p0-p0
89|13|3|0.0|0.0|0.5|1.0|0.0|1.0|0.4166666666666667|p0|p0|p3|p2|p0|p1|p0-p0-p3-p2-p0-p1
90|14|3|0.0|0.0|0.5|1.0|0.3333333333333333|0.0|0.3055555555555555|p0|p0|p3|p2|p1|p0|p0-p0-p3-p2-p1-p0
91|15|4|0.0|0.0|0.5|1.0|0.3333333333333333|1.0|0.4722222222222221|p0|p0|p3|p2|p1|p1|p0-p0-p3-p2-p1-p1
92|14|3|0.0|0.0|0.5|1.0|0.6666666666666666|0.0|0.3611111111111111|p0|p0|p3|p2|p2|p0|p0-p0-p3-p2-p2-p0
93|15|4|0.0|0.0|0.5|1.0|0.6666666666666666|1.0|0.5277777777777778|p0|p0|p3|p2|p2|p1|p0-p0-p3-p2-p2-p1
94|14|3|0.0|0.0|0.5|1.0|1.0|0.0|0.4166666666666667|p0|p0|p3|p2|p3|p0|p0-p0-p3-p2-p3-p0
95|15|4|0.0|0.0|0.5|1.0|1.0|1.0|0.5833333333333334|p0|p0|p3|p2|p3|p1|p0-p0-p3-p2-p3-p1
96|8|1|0.0|0.0|0.6666666666666666|0.0|0.0|0.0|0.1111111111111111|p0|p0|p4|p0|p0|p0|p0-p0-p4-p0-p0-p0
97|9|2|0.0|0.0|0.6666666666666666|0.0|0.0|1.0|0.2777777777777777|p0|p0|p4|p0|p0|p1|p0-p0-p4-p0-p0-p1
98|10|2|0.0|0.0|0.6666666666666666|0.0|0.3333333333333333|0.0|0.1666666666666666|p0|p0|p4|p0|p1|p0|p0-p0-p4-p0-p1-p0
99|11|3|0.0|0.0|0.6666666666666666|0.0|0.3333333333333333|1.0|0.3333333333333333|p0|p0|p4|p0|p1|p1|p0-p0-p4-p0-p1-p1
100|10|2|0.0|0.0|0.6666666666666666|0.0|0.6666666666666666|0.0|0.2222222222222222|p0|p0|p4|p0|p2|p0|p0-p0-p4-p0-p2-p0
101|11|3|0.0|0.0|0.6666666666666666|0.0|0.6666666666666666|1.0|0.3888888888888888|p0|p0|p4|p0|p2|p1|p0-p0-p4-p0-p2-p1
102|10|2|0.0|0.0|0.6666666666666666|0.0|1.0|0.0|0.2777777777777777|p0|p0|p4|p0|p3|p0|p0-p0-p4-p0-p3-p0
103|11|3|0.0|0.0|0.6666666666666666|0.0|1.0|1.0|0.4444444444444444|p0|p0|p4|p0|p3|p1|p0-p0-p4-p0-p3-p1
104|12|2|0.0|0.0|0.6666666666666666|0.5|0.0|0.0|0.1944444444444444|p0|p0|p4|p1|p0|p0|p0-p0-p4-p1-p0-p0
105|13|3|0.0|0.0|0.6666666666666666|0.5|0.0|1.0|0.3611111111111111|p0|p0|p4|p1|p0|p1|p0-p0-p4-p1-p0-p1
106|14|3|0.0|0.0|0.6666666666666666|0.5|0.3333333333333333|0.0|0.2499999999999999|p0|p0|p4|p1|p1|p0|p0-p0-p4-p1-p1-p0
107|15|4|0.0|0.0|0.6666666666666666|0.5|0.3333333333333333|1.0|0.4166666666666667|p0|p0|p4|p1|p1|p1|p0-p0-p4-p1-p1-p1
108|14|3|0.0|0.0|0.6666666666666666|0.5|0.6666666666666666|0.0|0.3055555555555555|p0|p0|p4|p1|p2|p0|p0-p0-p4-p1-p2-p0
109|15|4|0.0|0.0|0.6666666666666666|0.5|0.6666666666666666|1.0|0.4722222222222221|p0|p0|p4|p1|p2|p1|p0-p0-p4-p1-p2-p1
110|14|3|0.0|0.0|0.6666666666666666|0.5|1.0|0.0|0.3611111111111111|p0|p0|p4|p1|p3|p0|p0-p0-p4-p1-p3-p0
111|15|4|0.0|0.0|0.6666666666666666|0.5|1.0|1.0|0.5277777777777778|p0|p0|p4|p1|p3|p1|p0-p0-p4-p1-p3-p1
112|12|2|0.0|0.0|0.6666666666666666|1.0|0.0|0.0|0.2777777777777777|p0|p0|p4|p2|p0|p0|p0-p0-p4-p2-p0-p0
113|13|3|0.0|0.0|0.6666666666666666|1.0|0.0|1.0|0.4444444444444444|p0|p0|p4|p2|p0|p1|p0-p0-p4-p2-p0-p1
114|14|3|0.0|0.0|0.6666666666666666|1.0|0.3333333333333333|0.0|0.3333333333333333|p0|p0|p4|p2|p1|p0|p0-p0-p4-p2-p1-p0
115|15|4|0.0|0.0|0.6666666666666666|1.0|0.3333333333333333|1.0|0.5|p0|p0|p4|p2|p1|p1|p0-p0-p4-p2-p1-p1
116|14|3|0.0|0.0|0.6666666666666666|1.0|0.6666666666666666|0.0|0.3888888888888888|p0|p0|p4|p2|p2|p0|p0-p0-p4-p2-p2-p0
117|15|4|0.0|0.0|0.6666666666666666|1.0|0.6666666666666666|1.0|0.5555555555555555|p0|p0|p4|p2|p2|p1|p0-p0-p4-p2-p2-p1
118|14|3|0.0|0.0|0.6666666666666666|1.0|1.0|0.0|0.4444444444444444|p0|p0|p4|p2|p3|p0|p0-p0-p4-p2-p3-p0
119|15|4|0.0|0.0|0.6666666666666666|1.0|1.0|1.0|0.611111111111111|p0|p0|p4|p2|p3|p1|p0-p0-p4-p2-p3-p1
120|8|1|0.0|0.0|0.8333333333333334|0.0|0.0|0.0|0.1388888888888889|p0|p0|p5|p0|p0|p0|p0-p0-p5-p0-p0-p0
121|9|2|0.0|0.0|0.8333333333333334|0.0|0.0|1.0|0.3055555555555556|p0|p0|p5|p0|p0|p1|p0-p0-p5-p0-p0-p1
122|10|2|0.0|0.0|0.8333333333333334|0.0|0.3333333333333333|0.0|0.1944444444444444|p0|p0|p5|p0|p1|p0|p0-p0-p5-p0-p1-p0
123|11|3|0.0|0.0|0.8333333333333334|0.0|0.3333333333333333|1.0|0.3611111111111111|p0|p0|p5|p0|p1|p1|p0-p0-p5-p0-p1-p1
124|10|2|0.0|0.0|0.8333333333333334|0.0|0.6666666666666666|0.0|0.25|p0|p0|p5|p0|p2|p0|p0-p0-p5-p0-p2-p0
125|11|3|0.0|0.0|0.8333333333333334|0.0|0.6666666666666666|1.0|0.4166666666666667|p0|p0|p5|p0|p2|p1|p0-p0-p5-p0-p2-p1
126|10|2|0.0|0.0|0.8333333333333334|0.0|1.0|0.0|0.3055555555555556|p0|p0|p5|p0|p3|p0|p0-p0-p5-p0-p3-p0
127|11|3|0.0|0.0|0.8333333333333334|0.0|1.0|1.0|0.4722222222222222|p0|p0|p5|p0|p3|p1|p0-p0-p5-p0-p3-p1
128|12|2|0.0|0.0|0.8333333333333334|0.5|0.0|0.0|0.2222222222222222|p0|p0|p5|p1|p0|p0|p0-p0-p5-p1-p0-p0
129|13|3|0.0|0.0|0.8333333333333334|0.5|0.0|1.0|0.3888888888888889|p0|p0|p5|p1|p0|p1|p0-p0-p5-p1-p0-p1
130|14|3|0.0|0.0|0.8333333333333334|0.5|0.3333333333333333|0.0|0.2777777777777778|p0|p0|p5|p1|p1|p0|p0-p0-p5-p1-p1-p0
131|15|4|0.0|0.0|0.8333333333333334|0.5|0.3333333333333333|1.0|0.4444444444444445|p0|p0|p5|p1|p1|p1|p0-p0-p5-p1-p1-p1
132|14|3|0.0|0.0|0.8333333333333334|0.5|0.6666666666666666|0.0|0.3333333333333333|p0|p0|p5|p1|p2|p0|p0-p0-p5-p1-p2-p0
133|15|4|0.0|0.0|0.8333333333333334|0.5|0.6666666666666666|1.0|0.5|p0|p0|p5|p1|p2|p1|p0-p0-p5-p1-p2-p1
134|14|3|0.0|0.0|0.8333333333333334|0.5|1.0|0.0|0.3888888888888889|p0|p0|p5|p1|p3|p0|p0-p0-p5-p1-p3-p0
135|15|4|0.0|0.0|0.8333333333333334|0.5|1.0|1.0|0.5555555555555556|p0|p0|p5|p1|p3|p1|p0-p0-p5-p1-p3-p1
136|12|2|0.0|0.0|0.8333333333333334|1.0|0.0|0.0|0.3055555555555556|p0|p0|p5|p2|p0|p0|p0-p0-p5-p2-p0-p0
137|13|3|0.0|0.0|0.8333333333333334|1.0|0.0|1.0|0.4722222222222222|p0|p0|p5|p2|p0|p1|p0-p0-p5-p2-p0-p1
138|14|3|0.0|0.0|0.8333333333333334|1.0|0.3333333333333333|0.0|0.3611111111111111|p0|p0|p5|p2|p1|p0|p0-p0-p5-p2-p1-p0
139|15|4|0.0|0.0|0.8333333333333334|1.0|0.3333333333333333|1.0|0.5277777777777778|p0|p0|p5|p2|p1|p1|p0-p0-p5-p2-p1-p1
140|14|3|0.0|0.0|0.8333333333333334|1.0|0.6666666666666666|0.0|0.4166666666666667|p0|p0|p5|p2|p2|p0|p0-p0-p5-p2-p2-p0
141|15|4|0.0|0.0|0.8333333333333334|1.0|0.6666666666666666|1.0|0.5833333333333334|p0|p0|p5|p2|p2|p1|p0-p0-p5-p2-p2-p1
142|14|3|0.0|0.0|0.8333333333333334|1.0|1.0|0.0|0.4722222222222222|p0|p0|p5|p2|p3|p0|p0-p0-p5-p2-p3-p0
143|15|4|0.0|0.0|0.8333333333333334|1.0|1.0|1.0|0.638888888888889|p0|p0|p5|p2|p3|p1|p0-p0-p5-p2-p3-p1
144|8|1|0.0|0.0|1.0|0.0|0.0|0.0|0.1666666666666666|p0|p0|p6|p0|p0|p0|p0-p0-p6-p0-p0-p0
145|9|2|0.0|0.0|1.0|0.0|0.0|1.0|0.3333333333333333|p0|p0|p6|p0|p0|p1|p0-p0-p6-p0-p0-p1
146|10|2|0.0|0.0|1.0|0.0|0.3333333333333333|0.0|0.2222222222222222|p0|p0|p6|p0|p1|p0|p0-p0-p6-p0-p1-p0
147|11|3|0.0|0.0|1.0|0.0|0.3333333333333333|1.0|0.3888888888888888|p0|p0|p6|p0|p1|p1|p0-p0-p6-p0-p1-p1
148|10|2|0.0|0.0|1.0|0.0|0.6666666666666666|0.0|0.2777777777777777|p0|p0|p6|p0|p2|p0|p0-p0-p6-p0-p2-p0
149|11|3|0.0|0.0|1.0|0.0|0.6666666666666666|1.0|0.4444444444444444|p0|p0|p6|p0|p2|p1|p0-p0-p6-p0-p2-p1
150|10|2|0.0|0.0|1.0|0.0|1.0|0.0|0.3333333333333333|p0|p0|p6|p0|p3|p0|p0-p0-p6-p0-p3-p0
151|11|3|0.0|0.0|1.0|0.0|1.0|1.0|0.5|p0|p0|p6|p0|p3|p1|p0-p0-p6-p0-p3-p1
152|12|2|0.0|0.0|1.0|0.5|0.0|0.0|0.25|p0|p0|p6|p1|p0|p0|p0-p0-p6-p1-p0-p0
153|13|3|0.0|0.0|1.0|0.5|0.0|1.0|0.4166666666666667|p0|p0|p6|p1|p0|p1|p0-p0-p6-p1-p0-p1
154|14|3|0.0|0.0|1.0|0.5|0.3333333333333333|0.0|0.3055555555555555|p0|p0|p6|p1|p1|p0|p0-p0-p6-p1-p1-p0
155|15|4|0.0|0.0|1.0|0.5|0.3333333333333333|1.0|0.4722222222222221|p0|p0|p6|p1|p1|p1|p0-p0-p6-p1-p1-p1
156|14|3|0.0|0.0|1.0|0.5|0.6666666666666666|0.0|0.3611111111111111|p0|p0|p6|p1|p2|p0|p0-p0-p6-p1-p2-p0
157|15|4|0.0|0.0|1.0|0.5|0.6666666666666666|1.0|0.5277777777777778|p0|p0|p6|p1|p2|p1|p0-p0-p6-p1-p2-p1
158|14|3|0.0|0.0|1.0|0.5|1.0|0.0|0.4166666666666667|p0|p0|p6|p1|p3|p0|p0-p0-p6-p1-p3-p0
159|15|4|0.0|0.0|1.0|0.5|1.0|1.0|0.5833333333333334|p0|p0|p6|p1|p3|p1|p0-p0-p6-p1-p3-p1
160|12|2|0.0|0.0|1.0|1.0|0.0|0.0|0.3333333333333333|p0|p0|p6|p2|p0|p0|p0-p0-p6-p2-p0-p0
161|13|3|0.0|0.0|1.0|1.0|0.0|1.0|0.5|p0|p0|p6|p2|p0|p1|p0-p0-p6-p2-p0-p1
162|14|3|0.0|0.0|1.0|1.0|0.3333333333333333|0.0|0.3888888888888889|p0|p0|p6|p2|p1|p0|p0-p0-p6-p2-p1-p0
163|15|4|0.0|0.0|1.0|1.0|0.3333333333333333|1.0|0.5555555555555556|p0|p0|p6|p2|p1|p1|p0-p0-p6-p2-p1-p1
164|14|3|0.0|0.0|1.0|1.0|0.6666666666666666|0.0|0.4444444444444444|p0|p0|p6|p2|p2|p0|p0-p0-p6-p2-p2-p0
165|15|4|0.0|0.0|1.0|1.0|0.6666666666666666|1.0|0.611111111111111|p0|p0|p6|p2|p2|p1|p0-p0-p6-p2-p2-p1
166|14|3|0.0|0.0|1.0|1.0|1.0|0.0|0.5|p0|p0|p6|p2|p3|p0|p0-p0-p6-p2-p3-p0
167|15|4|0.0|0.0|1.0|1.0|1.0|1.0|0.6666666666666666|p0|p0|p6|p2|p3|p1|p0-p0-p6-p2-p3-p1
168|16|1|0.0|0.25|0.0|0.0|0.0|0.0|0.0416666666666666|p0|p1|p0|p0|p0|p0|p0-p1-p0-p0-p0-p0
169|17|2|0.0|0.25|0.0|0.0|0.0|1.0|0.2083333333333333|p0|p1|p0|p0|p0|p1|p0-p1-p0-p0-p0-p1
170|18|2|0.0|0.25|0.0|0.0|0.3333333333333333|0.0|0.0972222222222222|p0|p1|p0|p0|p1|p0|p0-p1-p0-p0-p1-p0
171|19|3|0.0|0.25|0.0|0.0|0.3333333333333333|1.0|0.2638888888888889|p0|p1|p0|p0|p1|p1|p0-p1-p0-p0-p1-p1
